event_date,phase_month,activity_type,domain,artifact_category,artifact_label_anonymized,role_mode,learning_stage,complexity_level,onboarding_risk_tags,evidence_summary,cwi_signal,confidentiality_level,data_origin
2023-01-02,January,meeting_summary,e-commerce integration,meeting/pdf,Client N e-commerce integration meeting,observer_note_taker,early exposure,high,live_project_exposure;domain_overload;role_ambiguity,Early exposure to client-specific e-commerce integration and marketplace/3PL context.,Live project artifacts appeared before a staged ERP basics roadmap.,sanitized_summary,reconstructed_anonymized_summary
2023-01-03,January,project_deck,NetSuite integration,pptx,Client N integration approach deck,learner_observer,early exposure,high,artifact_fragmentation;multi_system_complexity,"Integration approach, marketplace, 3PL, external platforms, and field mapping appeared during early onboarding.",ERP knowledge was embedded inside customer integration design artifacts.,sanitized_summary,reconstructed_anonymized_summary
2023-01-04,January,process_note,return/RMA,docx,RMA procedure note,learner_note_taker,early exposure,medium,process_before_basics;domain_switching,Return process appeared before clear staging of sales order and fulfillment basics.,Reverse workflow introduced as early learning material.,sanitized_summary,reconstructed_anonymized_summary
2023-01-09,January,meeting_log,user training/integration,xlsx/docx/pptx,Client N meeting log and integration decks,observer_note_taker,early exposure,high,education_plan_gap;artifact_fragmentation,Meeting log indicated user education and mapping issues alongside integration work.,Customer training instability became part of new employee learning environment.,sanitized_summary,reconstructed_anonymized_summary
2023-01-10,January,field_mapping,integration/access,xlsx,NetSuite integration field mapping and access-related sheet,data_checker,early exposure,high,access_boundary_risk;field_mapping_overload,Field mapping and access/account references appeared in the same onboarding artifact environment.,Training artifacts and access-governance artifacts were not clearly separated.,sanitized_summary,reconstructed_anonymized_summary
2023-01-11,January,reference_material,ERP basics,pdf,Oracle/NetSuite ERP reference PDFs,self_learner,basic concept formation,medium,reference_overload;missing_sequence,General ERP reference materials existed but were not clearly staged against live project tasks.,Reference availability did not equal structured onboarding.,sanitized_summary,reconstructed_anonymized_summary
2023-01-12,January,domain_reference,fulfillment/FBA/FBM,docx,Fulfillment and FBA/FBM concept notes,self_learner,domain vocabulary,medium,domain_switching;self_onboarding,Fulfillment concepts were added while live customer integration questions were still active.,The learner had to construct a vocabulary map independently.,sanitized_summary,reconstructed_anonymized_summary
2023-01-13,January,training_reference,WMS/logistics,pdf/docx,WMS online education and meeting summary,self_learner,domain vocabulary,medium,multi_system_complexity;scaffolding_gap,WMS and logistics education appeared alongside NetSuite and integration materials.,ERP was not the only system context in the onboarding environment.,sanitized_summary,reconstructed_anonymized_summary
2023-01-16,January,proposal_deck,ERP proposal/business,pptx/docx,Client A proposal and IPO/business concept note,learner_observer,domain vocabulary,medium,domain_overload;business_context_switching,Proposal and business concept artifacts entered the learning stream.,Business context and ERP delivery were mixed.,sanitized_summary,reconstructed_anonymized_summary
2023-01-17,January,client_response_deck,manufacturing/accounting,pptx/docx,Client U production/inventory and accounting response decks,learner_analyst,advanced project exposure,very_high,manufacturing_overload;finance_coupling,"BOM/MRP terms, production/inventory response, and accounting response materials appeared early.",Manufacturing and finance concepts entered before conceptual scaffold was stable.,sanitized_summary,reconstructed_anonymized_summary
2023-01-18,January,meeting_summary,logistics/trade/manufacturing,docx,Client U meeting and logistics/trade reference notes,note_taker_self_learner,advanced project exposure,high,domain_overload;self_onboarding,"Trade terms, logistics qualification references, and client meeting summaries were collected together.",Domain vocabulary expansion became an individual burden.,sanitized_summary,reconstructed_anonymized_summary
