artifact_id,month,date_or_period,source_bucket,artifact_group,artifact_type,anonymized_project,domain,specific_topic,artifact_status,sensitivity_level,safe_public_summary,cwi_relevance,recommended_public_handling
A001,January,2023-01-02,2023년 1월 1 - 2주차,meeting summary,docx/pdf,Client N,e-commerce integration,Marketplace/3PL integration meeting,live_project_artifact,internal_summary,Early client integration meeting notes and e-commerce integration reference.,Live project exposure before structured onboarding.,Summarize only; do not upload raw file.
A002,January,2023-01-03,2023년 1월 1 - 2주차,integration deck,pptx,Client N,NetSuite integration,Integration approach and project progress slides,live_project_artifact,internal_summary,Customer-specific integration decks involving external channels and NetSuite.,Artifact fragmentation and multi-system complexity.,Summarize; anonymize customer and platform details when needed.
A003,January,2023-01-04,2023년 1월 1 - 2주차,process note,docx,Client N,return/RMA,RMA procedure,learning_and_project_reference,low_sanitized,Return procedure appeared as early learning material.,Process introduced before basic ERP sequence was stable.,Summarize as generic return workflow.
A004,January,2023-01-09,2023년 1월 1 - 2주차,meeting log,xlsx,Client N,integration/training,Meeting log with training/mapping issues,live_project_artifact,internal_summary,Meeting log showed user education and mapping uncertainties.,Training plan and customer readiness issues became onboarding noise.,Use only generalized notes.
A005,January,2023-01-10,2023년 1월 1 - 2주차,field mapping,xlsx,Client N,integration,NetSuite integration field mapping,implementation_artifact,medium_internal,Mapping artifact connecting external fields and NetSuite fields.,Field mapping workload before product scaffold.,Use synthetic field mapping instead.
A006,January,2023-01-10,2023년 1월 1 - 2주차,access/account sheet,xlsx,Client N,access governance,E-commerce ID/account reference sheet,credential_related_artifact,high_sensitive,Access/account-related information appeared in same artifact environment.,Security boundary risk and credential hygiene issue.,Never upload; structural description only.
A007,January,2023-01-11,2023년 1월 1 - 2주차,ERP reference,pdf,General,ERP basics,Oracle/NetSuite ERP reference PDFs,reference_material,public_or_internal_reference,ERP concept references existed but were mixed with live project materials.,Reference availability without sequence.,Use official/public links or generic summary.
A008,January,2023-01-12,2023년 1월 1 - 2주차,domain notes,docx,General/Client N,fulfillment/logistics,FBA/FBM and fulfillment concept notes,self_study_reference,low_sanitized,Fulfillment concepts collected during live customer integration stage.,Domain vocabulary self-learning burden.,Summarize as domain vocabulary evidence.
A009,January,2023-01-13,2023년 1월 1 - 2주차,WMS education,pdf,Client N/general,WMS/logistics,Online WMS education material,reference_material,internal_reference,WMS education appeared as separate system context.,ERP was not the only tool to understand.,Do not upload raw; summarize.
A010,January,2023-01-17,2023년 1월 3주차,manufacturing/accounting response,pptx/docx,Client U,production/inventory/accounting,Production/inventory and accounting response decks plus BOM/MRP notes,live_project_artifact,internal_summary,"Production, inventory, accounting and terminology notes appeared early.",Manufacturing and finance domain overload.,Use anonymized summary.
A011,January,2023-01-18,2023년 1월 3주차,domain references,docx,General/Client U,trade/logistics,Trade terms and logistics qualification references,self_study_reference,low_sanitized,Additional domain references collected to understand client context.,Self-onboarding vocabulary expansion.,Summarize only.
A012,January,2023-01-25,"20230125 생산, 재고영역 공유자료",manufacturing bundle,docx/xlsx/mp4,Client U,Item/BOM/outsourced manufacturing,Production and inventory shared materials,implementation_artifact,internal_summary,"Item, BOM, BOM templates, outsourced work order and screen-share video in one bundle.",Master data and production workflow compression.,Use reconstructed diagrams and synthetic examples.
A013,January,2023-01-26,20230126,meeting summary,docx,Client E,manufacturing/finance/intercompany,Late-January manufacturing and finance meeting notes,live_project_artifact,internal_summary,"AP, fixed assets, lot/serial, WIP, intercompany and manufacturing issues appeared together.",Manufacturing-finance-intercompany coupling.,Summarize only.
A014,January,2023-01-27,20230127,proposal and meeting,docx/pptx,Client E,manufacturing proposal/troubleshooting,EndoQuest-style proposal and meeting summary,live_project_artifact,internal_summary,Proposal scope and troubleshooting context appeared in onboarding stream.,Live delivery exposure and unresolved issue analysis.,Summarize only.
A015,February,2023-01-31,2023년 2월,translation,docx,General,translation/customer case,Customer case subtitle translation,task_artifact,low_sanitized,Translation work overlapped with ERP onboarding.,Role mixing between language work and ERP learning.,Summarize output type only.
