knowledge_area,required_prerequisite,artifacts_observed,gap_type,impact,recommended_scaffold,possible_cwi_metric
NetSuite basics,"ERP concepts, record types, transaction vs master data","ERP PDFs, NetSuite references",sequence_gap,Reference materials existed but were not aligned with live tasks.,Create 2-week NetSuite basics path before customer artifacts.,concept_readiness_score
Customer context,"Business model, system landscape, project scope",Client decks and meeting notes,context_gap,Customer context appeared through live artifacts rather than staged briefings.,One-page client context sheet per project.,context_clarity_score
E-commerce integration,"Marketplace, WMS, 3PL, field mapping","Integration decks, field mapping sheets",system_map_gap,External systems appeared without stable source/target map.,Create system map and data ownership table.,system_map_coverage
Return process,"Sales order, fulfillment, RMA, refund/replacement","RMA notes, return decks, return data",process_prerequisite_gap,Return process appeared before full O2C basics were stable.,"Teach O2C first, then return as reverse flow.",process_sequence_score
Sales order upload,"Sales order structure, CSV import, field mapping","Upload templates, US SO manual, channel files",execution_gap,New employee had to work with upload structures and manuals early.,Sandbox upload exercise before live upload/manual work.,upload_readiness_score
Data reconciliation,"Source-of-truth, IDs, date/status mapping, exception rules",NetSuite vs external platform comparisons,data_quality_gap,Mismatch analysis required operational data quality judgment.,Provide reconciliation checklist and ownership rules.,mismatch_resolution_rate
Manufacturing Item master,"Item types, Units Type, Costing Method, External/Internal ID","Item/BOM documents, screen-share videos",master_data_gap,High-risk item settings appeared early.,Item master mini-course and sandbox item creation.,master_data_risk_score
BOM and BOM Revision,"Assembly item, BOM, revision, component list, effective dates","BOM template, BOM inquiry, BOM creation notes",hierarchy_gap,Multiple meanings of BOM were not sufficiently separated.,BOM hierarchy diagram and versioned example.,bom_hierarchy_score
Work Order and Build,"BOM consumption, assembly build, inventory detail, stock ledger","WO build video, manufacturing training",transaction_gap,Transaction impact appeared before master data foundations stabilized.,Step-by-step WO build lab with expected inventory effects.,transaction_trace_score
Routing and Work Center,"Manufacturing routing, work center, labor/machine cost","Routing templates, manufacturing training",advanced_concept_gap,Routing introduced with BOM/WO rather than after them.,Separate Routing module after WO basics.,routing_readiness_score
MRP,"Demand, supply, safety stock, lot sizing, lead time",MRP result analysis materials,planning_gap,MRP result interpretation appeared as advanced analysis.,Teach planning parameters before result analysis.,mrp_interpretability_score
Outsourced manufacturing,"Vendor location, outsourced PO, outsourcing charge, backflush, WO build",Outsourced manufacturing deck/video,advanced_process_gap,Outsourced manufacturing added vendor/cost/inventory complexity.,"Teach standard manufacturing first, then outsourced scenario.",outsourcing_complexity_score
Intercompany manufacturing,"Subsidiary, legal entity, intercompany PO/SO, transfer pricing context",Intercompany manufacturing materials,legal_entity_gap,Intercompany appeared before basic manufacturing flow was mature.,Legal entity process map and scenario lab.,intercompany_clarity_score
Feedback and progress,"Weekly goals, review, expected deliverable, mentor comments","Point lessons, outputs, many self-study files",feedback_loop_gap,Outputs existed but systematic progress review was unclear.,Weekly learning review matrix.,feedback_event_count
Security/access governance,"Credential handling, permission scope, training vs live access",ID/account/2FA-related materials,access_governance_gap,Access artifacts appeared among learning/project files.,Separate credential vault and access training.,access_boundary_score
